Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score
"Facing issue where tracking blocked on website, and now page kept loading forever. really frustrated.",Negative,Google Reviews,2023-04-23 13:54:16,user3798,Jaipur,0.64
"Facing issue where payment missing during checkout, and now no response from support. so annoying.",Negative,Twitter,2025-11-05 23:10:09,user9332,Pune,0.64
"Really liked the experience, everything worked fine and smooth 😊",Positive,Amazon India,2024-05-04 12:19:24,user2749,Mumbai,0.85
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2024-05-27 08:22:28,user7312,Hyderabad,0.92
"I tried account not working after payment but I couldn't proceed further, fed up with this.",Negative,Swiggy,2023-02-01 11:04:00,user7190,Pune,0.52
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2025-11-20 15:52:52,user8561,Mumbai,0.85
"Really liked the experience, everything worked fine and smooth 😊",Positive,Website Review,2023-11-30 00:59:55,user1458,Jaipur,0.96
Why is this happening? transaction delayed while placing order and also I couldn't proceed further. honestly upset.,Negative,Zomato,2025-12-15 08:39:24,user4688,Kolkata,0.5
"This is the third time address delayed while placing order, still page kept loading forever. like seriously.",Negative,Flipkart,2023-07-08 13:25:38,user4754,Bangalore,0.52
"Really liked the experience, everything worked fine and smooth 😊",Positive,Flipkart,2024-03-28 11:42:42,user4093,Pune,0.82
"Not sure what's happening, checkout delayed while logging in and I couldn't proceed further. very disappointed.",Negative,Swiggy,2025-05-29 06:39:10,user4149,Chennai,0.7
"Service was good and delivery was fast, happy with it 👍",Positive,Swiggy,2025-11-15 09:45:05,user4392,Delhi,0.86
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2023-02-20 03:03:24,user8866,Bangalore,0.84
"No issues at all, app works perfectly and easy to use ❤️",Positive,Amazon India,2023-05-06 19:32:41,user7847,Ahmedabad,0.98
"Service was good and delivery was fast, happy with it 👍",Positive,Swiggy,2023-03-02 14:57:31,user1838,Mumbai,0.93
"Really liked the experience, everything worked fine and smooth 😊",Positive,Zomato,2025-09-09 03:59:21,user5462,Ahmedabad,0.82
"Not sure what's happening, order failed in app and money already deducted. seriously irritated.",Negative,Swiggy,2024-01-27 15:51:55,user1200,Pune,0.6
"I was just trying to use the app and tracking not working on website, then app just froze. so annoying.",Negative,Zomato,2024-05-08 02:25:44,user8592,Pune,0.65
"Really liked the experience, everything worked fine and smooth 😊",Positive,Google Reviews,2025-04-27 05:06:04,user2888,Kolkata,0.82
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2025-03-12 04:48:28,user6170,Ahmedabad,0.92
"I tried payment blocked during delivery but no response from support, really frustrated.",Negative,Amazon India,2024-03-28 15:00:52,user3852,Lucknow,0.69
"Service was good and delivery was fast, happy with it 👍",Positive,Amazon India,2025-06-21 11:49:05,user8232,Lucknow,0.93
"Not sure what's happening, email delayed during checkout and no response from support. seriously irritated.",Negative,Swiggy,2023-03-28 23:08:01,user9458,Chennai,0.64
"This is the third time tracking stuck after update, still money already deducted. again and again same issue.",Negative,Flipkart,2025-02-03 09:07:19,user9294,Delhi,0.61
"This is the third time transaction showing error during delivery, still page kept loading forever. I don't understand why.",Negative,Google Reviews,2024-06-16 03:21:20,user8617,Bangalore,0.69
"Service was good and delivery was fast, happy with it 👍",Positive,Twitter,2025-08-30 07:06:53,user5221,Pune,0.85
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2025-05-02 05:09:18,user7439,Kolkata,0.93
"Really liked the experience, everything worked fine and smooth 😊",Positive,Zomato,2023-03-04 10:34:32,user3427,Jaipur,0.92
"email not processing in app happened and after that I couldn't proceed further, really bad experience.",Negative,Amazon India,2024-03-12 10:06:00,user7469,Bangalore,0.73
"Service was good and delivery was fast, happy with it 👍",Positive,Flipkart,2025-05-24 20:08:41,user6881,Lucknow,0.81
"No issues at all, app works perfectly and easy to use ❤️",Positive,Swiggy,2024-04-22 02:42:54,user2613,Lucknow,0.82
"No issues at all, app works perfectly and easy to use ❤️",Positive,Amazon India,2023-04-20 23:44:34,user1903,Chennai,0.9
"address not updating while logging in happened and after that page kept loading forever, really bad experience.",Negative,Flipkart,2025-02-19 08:57:36,user2328,Lucknow,0.67
Why is this happening? app blocked while placing order and also page kept loading forever. honestly upset.,Negative,Flipkart,2024-11-03 01:00:53,user2183,Pune,0.71
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2023-02-04 07:49:47,user8489,Pune,0.93
"Service was good and delivery was fast, happy with it 👍",Positive,Zomato,2024-03-29 03:31:02,user7281,Delhi,0.83
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2023-05-23 02:57:56,user6686,Lucknow,0.93
"No issues at all, app works perfectly and easy to use ❤️",Positive,Zomato,2025-04-25 19:41:54,user9986,Pune,0.87
"Service was good and delivery was fast, happy with it 👍",Positive,Google Reviews,2025-08-26 10:23:43,user2971,Chennai,0.85
"Service was good and delivery was fast, happy with it 👍",Positive,Twitter,2024-07-17 10:26:26,user2020,Pune,0.85
"I tried refund missing in app but it failed again, not happy at all.",Negative,Website Review,2024-09-20 18:57:35,user5227,Hyderabad,0.69
"Not sure what's happening, tracking showing error after payement and page kept loading forever. so annoying.",Negative,Flipkart,2024-08-02 01:03:40,user6845,Jaipur,0.61
"No issues at all, app works perfectly and easy to use ❤️",Positive,Zomato,2023-07-02 06:01:31,user7404,Bangalore,0.93
"Facing issue where OTP not received in app, and now nothing is working properly. very disappointed.",Negative,Swiggy,2024-08-07 10:23:44,user5013,Kolkata,0.75
"Service was good and delivery was fast, happy with it 👍",Positive,Flipkart,2024-08-21 03:14:12,user8897,Chennai,0.9
"This is the third time account incorrect on website, still no response from support. expected better from this app.",Negative,Flipkart,2025-04-07 23:14:12,user8248,Bangalore,0.51
