Text,Sentiment,Source,Date/Time,User ID,Location,Confidence Score
"Tried this for the first time, and I had a great experience overall. delivery was quick and packaging was neat. totally satisfied ❤️ seriously yaar.",Positive,Zomato,2024-03-03 20:14:43,user9545,Kolkata,0.92
"Tried using it for few days, but the experience was really bad. delivery got delayed without any update. very bad experience overall bakwas experience.",Negative,Amazon India,2023-10-22 10:27:44,user8530,Delhi,0.67
"Bought this during sale, and it's totally worth the money. website is very easy to use. good job by the team.",Positive,Website Review,2025-07-15 16:33:16,user7263,Nagpur,0.94
"Got this delivered yesterday, and it turned out better than expected. delivery was quick and packaging was neat. good job by the team thoda disappointing.",Positive,Twitter,2024-08-12 17:15:23,user4122,Mumbai,0.94
"Received this product yesterday, but facing multiple issues. customer support didn't respond properly. completely disappointed 💔 thoda disappointing.",Negative,Online Store,2023-06-18 07:23:52,user3525,Coimbatore,0.56
"I ordered this recently, and it didn't meet my expectations at all. customer support didn't respond properly. needs serious improvement thoda disappointing.",Negative,Flipkart,2025-07-22 01:07:29,user1305,Ahmedabad,0.65
"Bought this during sale, and I had a great experience overall. customer support was helpful. good job by the team thoda disappointing.",Positive,Flipkart,2024-09-10 15:52:54,user7802,Chennai,0.91
"After waiting for so long, and it's not worth the price. delivery got delayed without any update. waste of money bilkul pasand aaya.",Negative,Twitter,2024-02-07 07:14:44,user9556,Patna,0.73
"Bought this during sale, and it's totally worth the money. website is very easy to use. totally satisfied ❤️.",Positive,Google Reviews,2025-01-04 19:58:03,user3510,Ahmedabad,0.97
"I ordered this recently, but facing multiple issues. transaction failed but money was deducted. completely disappointed 💔 matlab expected better.",Negative,Google Reviews,2024-11-05 17:42:32,user5244,Ahmedabad,0.64
"Got this after delay, and honestly I'm very disappointed. product quality is very poor. completely disappointed 💔 seriously yaar.",Negative,Amazon India,2025-05-12 03:16:38,user1864,Patna,0.65
"Using this from past few days, and it's totally worth the money. delivery was quick and packaging was neat. happy with the purchase 👍.",Positive,Online Store,2024-08-15 20:27:29,user2484,Lucknow,0.95
"I ordered this recently, and honestly I'm very disappointed. product quality is very poor. needs serious improvement bilkul pasand aaya.",Negative,Swiggy,2024-05-13 05:09:07,user1980,Patna,0.55
"Got this delivered yesterday, and it turned out better than expected. everything worked perfectly. will order again for sure seriously yaar.",Positive,Swiggy,2025-12-12 16:30:17,user6164,Coimbatore,0.87
"Received this product yesterday, but facing multiple issues. customer support didn't respond properly. very bad experience overall matlab expected better.",Negative,Swiggy,2025-02-01 12:49:45,user9820,Pune,0.62
"I ordered this last week, and it turned out better than expected. product quality is really good. will definitely recommend this to others 😊 kaafi acha hai.",Positive,Amazon India,2024-08-13 09:23:05,user5186,Delhi,0.87
"Got this after delay, but the experience was really bad. received damaged product. very bad experience overall bilkul pasand aaya.",Negative,Flipkart,2025-08-04 11:11:58,user8552,Patna,0.63
"Tried using it for few days, but facing multiple issues. customer support didn't respond properly. needs serious improvement bakwas experience.",Negative,Twitter,2025-11-24 22:58:46,user6402,Lucknow,0.63
"Got this delivered yesterday, and it turned out better than expected. app interface is clean and smooth. totally satisfied ❤️ matlab expected better.",Positive,Google Reviews,2024-02-27 14:29:29,user2234,Coimbatore,0.92
"I ordered this recently, and it's not worth the price. transaction failed but money was deducted. needs serious improvement seriously yaar.",Negative,Google Reviews,2025-01-18 07:53:47,user4289,Pune,0.68
"Tried using it for few days, but the experience was really bad. customer support didn't respond properly. waste of money kaafi acha hai.",Negative,Flipkart,2023-12-31 20:20:59,user7516,Bangalore,0.54
"Bought this with high expectations, and it didn't meet my expectations at all. tried contacting support but no response. waste of money matlab expected better.",Negative,Website Review,2023-03-25 00:52:11,user2742,Bangalore,0.69
"Received this product yesterday, and honestly I'm very disappointed. customer support didn't respond properly. very bad experience overall seriously yaar.",Negative,Amazon India,2024-04-22 16:42:56,user4074,Kolkata,0.71
"After waiting for so long, but the experience was really bad. customer support didn't respond properly. completely disappointed 💔 seriously yaar.",Negative,Online Store,2025-06-29 01:03:26,user3637,Kolkata,0.62
"Tried using it for few days, and it didn't meet my expectations at all. product quality is very poor. very bad experience overall matlab expected better.",Negative,Online Store,2025-12-21 02:16:44,user4884,Lucknow,0.7
"Recently purchased this, and honestly I'm really happy with it. product quality is really good. happy with the purchase 👍 thoda disappointing.",Positive,Zomato,2023-03-30 20:58:56,user5775,Bangalore,0.83
"Received this product yesterday, and it's not worth the price. product quality is very poor. not going to buy again 😡 seriously yaar.",Negative,Online Store,2024-03-04 22:10:46,user8243,Coimbatore,0.5
"I ordered this last week, and honestly I'm really happy with it. delivery was quick and packaging was neat. good job by the team seriously yaar.",Positive,Flipkart,2023-01-18 15:01:58,user4081,Pune,0.8
"Got this delivered yesterday, and everything was smooth from start to end. navigation is simple and fast. totally satisfied ❤️ seriously yaar.",Positive,Website Review,2025-08-26 21:00:16,user3088,Bangalore,0.97
"Recently purchased this, and it's totally worth the money. everything worked perfectly. will definitely recommend this to others 😊 bakwas experience.",Positive,Online Store,2025-03-03 23:42:20,user2087,Pune,0.9
"Tried this for the first time, and everything was smooth from start to end. product quality is really good. totally satisfied ❤️ bakwas experience.",Positive,Flipkart,2024-12-17 13:50:07,user2808,Bangalore,0.82
"Got this after delay, and it didn't meet my expectations at all. unable to login to my account. completely disappointed 💔 matlab expected better.",Negative,Google Reviews,2024-06-17 06:35:06,user6169,Coimbatore,0.71
"Tried using it for few days, and it's not worth the price. product quality is very poor. very bad experience overall.",Negative,Swiggy,2023-03-20 21:54:12,user1729,Nagpur,0.58
"Bought this with high expectations, and it didn't meet my expectations at all. delivery got delayed without any update. not going to buy again 😡 seriously yaar.",Negative,Zomato,2024-02-01 04:42:29,user9992,Jaipur,0.65
"I ordered this last week, and everything was smooth from start to end. customer support was helpful. good job by the team matlab expected better.",Positive,Swiggy,2024-11-17 02:59:09,user2872,Patna,0.82
